COMPONENT NAME,COMPONENT TYPE,EVR ID,NAME,SERVERITY,FORMAT
fileUplink,FileUplink,264,FileUplink_FileWriteError,WARNING_HI,Could not write to file %s
fileUplink,FileUplink,265,FileUplink_InvalidReceiveMode,WARNING_HI,Packet type %u received in mode %u
fileUplink,FileUplink,266,FileUplink_PacketOutOfBounds,WARNING_HI,Packet %u out of bounds for file %s
fileUplink,FileUplink,267,FileUplink_PacketOutOfOrder,WARNING_HI,Received packet %u after packet %u
fileUplink,FileUplink,268,FileUplink_UplinkCanceled,ACTIVITY_HI,Received CANCEL packet
SG5,SignalGen,281,SignalGen_SettingsChanged,ACTIVITY_LO,"Set Frequency(Hz) %s, Amplitude %s, Phase %s"
fileUplinkBufferManager,BufferManager,301,BufferManager_AllocationQueueEmpty,WARNING_HI,Allocation queue empty
fileUplinkBufferManager,BufferManager,302,BufferManager_AllocationQueueFull,WARNING_HI,Allocation queue full
fileUplinkBufferManager,BufferManager,303,BufferManager_IDMismatch,WARNING_HI,"Mismatched deallocation ID: expected %d, saw %d"
fileUplinkBufferManager,BufferManager,304,BufferManager_StoreSizeExceeded,WARNING_HI,Store size exceeded
SG4,SignalGen,321,SignalGen_SettingsChanged,ACTIVITY_LO,"Set Frequency(Hz) %s, Amplitude %s, Phase %s"
fatalAdapter,AssertFatalAdapter,341,AF_ASSERT_0,FATAL,"Assert in file %s, line %d"
fatalAdapter,AssertFatalAdapter,342,AF_ASSERT_1,FATAL,"Assert in file %s, line %d: %d"
fatalAdapter,AssertFatalAdapter,343,AF_ASSERT_2,FATAL,"Assert in file %s, line %d: %d %d"
fatalAdapter,AssertFatalAdapter,344,AF_ASSERT_3,FATAL,"Assert in file %s, line %d: %d %d %d"
fatalAdapter,AssertFatalAdapter,345,AF_ASSERT_4,FATAL,"Assert in file %s, line %d: %d %d %d %d"
fatalAdapter,AssertFatalAdapter,346,AF_ASSERT_5,FATAL,"Assert in file %s, line %d: %d %d %d %d %d"
fatalAdapter,AssertFatalAdapter,347,AF_ASSERT_6,FATAL,"Assert in file %s, line %d: %d %d %d %d %d %d"
fatalAdapter,AssertFatalAdapter,348,AF_UNEXPECTED_ASSERT,FATAL,"Unexpected assert in file %s, line %d, args %d"
health,Health,361,HLTH_PING_WARN,WARNING_HI,Ping entry %s late warning
health,Health,362,HLTH_PING_LATE,FATAL,Ping entry %s did not respond
health,Health,363,HLTH_PING_WRONG_KEY,FATAL,Ping entry %s responded with wrong key 0x%08X
health,Health,364,HLTH_CHECK_ENABLE,ACTIVITY_HI,Health checking set to %d
health,Health,365,HLTH_CHECK_PING,ACTIVITY_HI,Health checking set to %d for %s
health,Health,366,HLTH_CHECK_LOOKUP_ERROR,WARNING_LO,Couldn't find entry %s
health,Health,367,HLTH_PING_UPDATED,ACTIVITY_HI,Health ping for %s changed to WARN %d FATAL %d
health,Health,368,HLTH_PING_INVALID_VALUES,WARNING_HI,Health ping for %s invalid values: WARN %d FATAL %d
sockGndIf,GndIf,381,NoConnectionToServer,WARNING_LO,Unable to connect to the socket server on port %d
sockGndIf,GndIf,382,ConnectedToServer,ACTIVITY_HI,Connection made to the socket server on port %d
sockGndIf,GndIf,383,LostConnectionToServer,WARNING_LO,Connection lost with socket server on port %d
fileDownlinkBufferManager,BufferManager,401,BufferManager_AllocationQueueEmpty,WARNING_HI,Allocation queue empty
fileDownlinkBufferManager,BufferManager,402,BufferManager_AllocationQueueFull,WARNING_HI,Allocation queue full
fileDownlinkBufferManager,BufferManager,403,BufferManager_IDMismatch,WARNING_HI,"Mismatched deallocation ID: expected %d, saw %d"
fileDownlinkBufferManager,BufferManager,404,BufferManager_StoreSizeExceeded,WARNING_HI,Store size exceeded
eventLogger,ActiveLogger,421,ALOG_FILE_WRITE_ERR,WARNING_HI,Event buffer write failed in stage %d with error %d
eventLogger,ActiveLogger,422,ALOG_FILE_WRITE_COMPLETE,ACTIVITY_HI,Event buffer write complete. Wrote %d records.
eventLogger,ActiveLogger,423,ALOG_SEVERITY_FILTER_STATE,ACTIVITY_LO,%d filter state. Recv: %d Send: %d
eventLogger,ActiveLogger,424,ALOG_ID_FILTER_ENABLED,ACTIVITY_HI,ID %d is filtered.
eventLogger,ActiveLogger,425,ALOG_ID_FILTER_LIST_FULL,WARNING_LO,ID filter list is full. Cannot filter %d .
eventLogger,ActiveLogger,426,ALOG_ID_FILTER_REMOVED,ACTIVITY_HI,ID filter ID %d removed.
eventLogger,ActiveLogger,427,ALOG_ID_FILTER_NOT_FOUND,WARNING_LO,ID filter ID %d not found.
fileDownlink,FileDownlink,501,FileDownlink_FileOpenError,WARNING_HI,Could not open file %s
fileDownlink,FileDownlink,502,FileDownlink_FileReadError,WARNING_HI,Could not read file %s
fileDownlink,FileDownlink,503,FileDownlink_FileSent,ACTIVITY_HI,Sent file %s to file %s
fileDownlink,FileDownlink,504,FileDownlink_DownlinkCanceled,ACTIVITY_HI,Canceled downlink of file %s to file %s
